age,attrition,business-travel,department,distance-from-home,education,education-field,employee-number,environment-satisfaction,gender,job-involvement,job-level,job-role,job-satisfaction,marial-status,monthly-income,number-of-companies-worked-at,over-time,last-salary-increase-percentage,performance-rating,relationship-satisfaction,stock-option-level,total-working-years,work-life-balance,years-at-company,years-in-current-role,years-since-last-promotion,years-with-current-manager
41.0,Yes,Travel_Rarely,Sales,1.0,2.0,Life Sciences,1.0,2.0,Female,3.0,2.0,Sales Executive,4.0,Single,5993.0,8.0,Yes,11.0,3.0,1.0,0.0,8.0,1.0,6.0,4.0,0.0,5.0
49.0,No,Travel_Frequently,Research & Development,8.0,1.0,Life Sciences,2.0,3.0,Male,2.0,2.0,Research Scientist,2.0,Married,5130.0,1.0,No,23.0,4.0,4.0,1.0,10.0,3.0,10.0,7.0,1.0,7.0
37.0,Yes,Travel_Rarely,Research & Development,2.0,2.0,Other,4.0,4.0,Male,2.0,1.0,Laboratory Technician,3.0,Single,2090.0,6.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0
33.0,No,Travel_Frequently,Research & Development,3.0,4.0,Life Sciences,5.0,4.0,Female,3.0,1.0,Research Scientist,3.0,Married,2909.0,1.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,8.0,7.0,3.0,0.0
27.0,No,Travel_Rarely,Research & Development,2.0,1.0,Medical,7.0,1.0,Male,3.0,1.0,Laboratory Technician,2.0,Married,3468.0,9.0,No,12.0,3.0,4.0,1.0,6.0,3.0,2.0,2.0,2.0,2.0
32.0,No,Travel_Frequently,Research & Development,2.0,2.0,Life Sciences,8.0,4.0,Male,3.0,1.0,Laboratory Technician,4.0,Single,3068.0,0.0,No,13.0,3.0,3.0,0.0,8.0,2.0,7.0,7.0,3.0,6.0
59.0,No,Travel_Rarely,Research & Development,3.0,3.0,Medical,10.0,3.0,Female,4.0,1.0,Laboratory Technician,1.0,Married,2670.0,4.0,Yes,20.0,4.0,1.0,3.0,12.0,2.0,1.0,0.0,0.0,0.0
30.0,No,Travel_Rarely,Research & Development,24.0,1.0,Life Sciences,11.0,4.0,Male,3.0,1.0,Laboratory Technician,3.0,Divorced,2693.0,1.0,No,22.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0
38.0,No,Travel_Frequently,Research & Development,23.0,3.0,Life Sciences,12.0,4.0,Male,2.0,3.0,Manufacturing Director,3.0,Single,9526.0,0.0,No,21.0,4.0,2.0,0.0,10.0,3.0,9.0,7.0,1.0,8.0
36.0,No,Travel_Rarely,Research & Development,27.0,3.0,Medical,13.0,3.0,Male,3.0,2.0,Healthcare Representative,3.0,Married,5237.0,6.0,No,13.0,3.0,2.0,2.0,17.0,2.0,7.0,7.0,7.0,7.0
35.0,No,Travel_Rarely,Research & Development,16.0,3.0,Medical,14.0,1.0,Male,4.0,1.0,Laboratory Technician,2.0,Married,2426.0,0.0,No,13.0,3.0,3.0,1.0,6.0,3.0,5.0,4.0,0.0,3.0
29.0,No,Travel_Rarely,Research & Development,15.0,2.0,Life Sciences,15.0,4.0,Female,2.0,2.0,Laboratory Technician,3.0,Single,4193.0,0.0,Yes,12.0,3.0,4.0,0.0,10.0,3.0,9.0,5.0,0.0,8.0
31.0,No,Travel_Rarely,Research & Development,26.0,1.0,Life Sciences,16.0,1.0,Male,3.0,1.0,Research Scientist,3.0,Divorced,2911.0,1.0,No,,3.0,4.0,1.0,5.0,2.0,5.0,2.0,4.0,3.0
